SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022
162,6,0,33518,0,0,0,A,Hidden Hills city,California,1725,1722,1700,1694
162,6,0,33588,0,0,0,A,Highland city,California,56996,57034,57115,56705
162,6,0,33798,0,0,0,A,Hillsborough town,California,11384,11358,11030,10956
162,6,0,34120,0,0,0,A,Hollister city,California,41682,41909,43326,44218
162,6,0,34246,0,0,0,A,Holtville city,California,5607,5600,5583,5513
162,6,0,34904,0,0,0,A,Hughson city,California,7488,7499,7522,7734
162,6,0,36000,0,0,0,A,Huntington Beach city,California,198723,198410,196463,194310
162,6,0,36056,0,0,0,A,Huntington Park city,California,54883,54712,53584,52633
162,6,0,36084,0,0,0,A,Huron city,California,6209,6203,6225,6240
162,6,0,36280,0,0,0,A,Imperial city,California,20295,20417,21021,21233
162,6,0,36294,0,0,0,A,Imperial Beach city,California,26131,26127,25997,25791
162,6,0,36434,0,0,0,A,Indian Wells city,California,4768,4775,4844,4860
162,6,0,36448,0,0,0,A,Indio city,California,89126,89274,90528,91980
162,6,0,36490,0,0,0,A,Industry city,California,261,260,257,255
162,6,0,36546,0,0,0,A,Inglewood city,California,107759,107384,105097,103621
162,6,0,36672,0,0,0,A,Ione city,California,5142,5171,5234,5364
162,6,0,36770,0,0,0,A,Irvine city,California,307665,308974,305096,313685
162,6,0,36826,0,0,0,A,Irwindale city,California,1467,1462,1438,1413
162,6,0,36882,0,0,0,A,Isleton city,California,797,797,793,782
162,6,0,36980,0,0,0,A,Jackson city,California,5010,5002,5078,5113
162,6,0,37692,0,0,0,A,Jurupa Valley city,California,105054,105313,106982,107609
162,6,0,38226,0,0,0,A,Kerman city,California,16010,16039,16172,16208
162,6,0,38520,0,0,0,A,King City city,California,13330,13351,13436,13738
162,6,0,38562,0,0,0,A,Kingsburg city,California,12380,12448,12664,12613
162,6,0,39003,0,0,0,A,La Cañada Flintridge city,California,20572,20506,20077,19752
162,6,0,39122,0,0,0,A,Lafayette city,California,25399,25371,25230,25044
162,6,0,39178,0,0,0,A,Laguna Beach city,California,23034,23000,22775,22583
162,6,0,39220,0,0,0,A,Laguna Hills city,California,31365,31306,30964,30568
162,6,0,39248,0,0,0,A,Laguna Niguel city,California,64347,64226,64140,63742
162,6,0,39259,0,0,0,A,Laguna Woods city,California,17650,17617,17421,17192
162,6,0,39290,0,0,0,A,La Habra city,California,63118,63096,62599,61978
162,6,0,39304,0,0,0,A,La Habra Heights city,California,5681,5661,5545,5447
162,6,0,39486,0,0,0,A,Lake Elsinore city,California,70244,70333,71505,71898
162,6,0,39496,0,0,0,A,Lake Forest city,California,85862,85848,85631,85638
162,6,0,39710,0,0,0,A,Lakeport city,California,5029,5033,5063,5026
162,6,0,39892,0,0,0,A,Lakewood city,California,82497,82213,80473,79063
162,6,0,40004,0,0,0,A,La Mesa city,California,61119,61070,60733,60360
162,6,0,40032,0,0,0,A,La Mirada city,California,47987,47839,46909,46323
162,6,0,40130,0,0,0,A,Lancaster city,California,173511,173040,170074,169185
162,6,0,40256,0,0,0,A,La Palma city,California,15588,15559,15388,15194
162,6,0,40340,0,0,0,A,La Puente city,California,38054,37964,37232,36636
162,6,0,40354,0,0,0,A,La Quinta city,California,37554,37630,38169,38392
162,6,0,40438,0,0,0,A,Larkspur city,California,13068,13045,12981,12754
162,6,0,40704,0,0,0,A,Lathrop city,California,28702,29052,30601,33670
162,6,0,40830,0,0,0,A,La Verne city,California,31581,31500,30883,30380
162,6,0,40886,0,0,0,A,Lawndale city,California,31826,31722,31088,30576
162,6,0,41124,0,0,0,A,Lemon Grove city,California,27635,27614,27431,27224
162,6,0,41152,0,0,0,A,Lemoore city,California,27030,27093,27312,27185
162,6,0,41474,0,0,0,A,Lincoln city,California,49747,49817,50658,52534
162,6,0,41712,0,0,0,A,Lindsay city,California,12652,12650,12627,12537
162,6,0,41936,0,0,0,A,Live Oak city,California,9110,9152,9295,9428
162,6,0,41992,0,0,0,A,Livermore city,California,87965,87880,86388,84701
162,6,0,42006,0,0,0,A,Livingston city,California,14177,14254,14626,14760
162,6,0,42202,0,0,0,A,Lodi city,California,66336,66443,67023,67258
162,6,0,42370,0,0,0,A,Loma Linda city,California,24789,24828,25096,25129
162,6,0,42468,0,0,0,A,Lomita city,California,20924,20849,20405,20053
162,6,0,42524,0,0,0,A,Lompoc city,California,44449,44403,43278,43736
162,6,0,43000,0,0,0,A,Long Beach city,California,466775,465448,454334,451307
162,6,0,43140,0,0,0,A,Loomis town,California,6831,6833,6871,6856
162,6,0,43224,0,0,0,A,Los Alamitos city,California,11782,11771,11696,11550
162,6,0,43280,0,0,0,A,Los Altos city,California,31467,31353,30554,30424
162,6,0,43294,0,0,0,A,Los Altos Hills town,California,8516,8490,8294,8168
